127 100
0.04 0.29552 0.931695
0.05 0.29552 0.925785
0.06 0.29552 0.919874
0.07 0.29552 0.913964
0.08 0.29552 0.908053
0.09 0.29552 0.902143
0.1 0.29552 0.896233
0.11 0.29552 0.890322
0.12 0.29552 0.884412
0.13 0.29552 0.878501
0.14 0.29552 0.872591
0.15 0.29552 0.866681
0.16 0.29552 0.86077
0.17 0.29552 0.85486
0.18 0.29552 0.848949
0.19 0.29552 0.843039
0.2 0.29552 0.837129
0.21 0.29552 0.831218
0.22 0.29552 0.825308
0.23 0.29552 0.819397
0.24 0.29552 0.813487
0.25 0.29552 0.807577
0.26 0.29552 0.801666
0.27 0.29552 0.795756
0.28 0.29552 0.789845
0.29 0.29552 0.783935
0.3 0.29552 0.778025
0.31 0.29552 0.772114
0.32 0.29552 0.766204
0.33 0.29552 0.760293
0.34 0.29552 0.754383
0.35 0.29552 0.748473
0.36 0.29552 0.742562
0.37 0.29552 0.736652
0.38 0.29552 0.730741
0.39 0.29552 0.724831
0.4 0.29552 0.718921
0.41 0.29552 0.71301
0.42 0.29552 0.7071
0.43 0.29552 0.701189
0.44 0.29552 0.695279
0.45 0.29552 0.689369
0.46 0.29552 0.683458
0.47 0.29552 0.677548
0.48 0.29552 0.671637
0.49 0.29552 0.665727
0.5 0.29552 0.659817
0.51 0.29552 0.653906
0.52 0.29552 0.647996
0.53 0.29552 0.642085
0.54 0.29552 0.636175
0.55 0.29552 0.630265
0.56 0.29552 0.624354
0.57 0.29552 0.618444
0.58 0.29552 0.612534
0.59 0.29552 0.606623
0.6 0.29552 0.600713
0.61 0.29552 0.594802
0.62 0.29552 0.588892
0.63 0.29552 0.582982
0.64 0.29552 0.577071
0.65 0.29552 0.571161
0.66 0.29552 0.56525
0.67 0.29552 0.55934
0.68 0.29552 0.55343
0.69 0.29552 0.547519
0.7 0.29552 0.541609
0.71 0.29552 0.535698
0.72 0.29552 0.529788
0.73 0.29552 0.523878
0.74 0.29552 0.517967
0.75 0.29552 0.512057
0.76 0.29552 0.506146
0.77 0.29552 0.500236
0.78 0.29552 0.494326
0.79 0.29552 0.488415
0.8 0.29552 0.482505
0.81 0.29552 0.476594
0.82 0.29552 0.470684
0.83 0.29552 0.464774
0.839999 0.29552 0.458863
0.849999 0.29552 0.452953
0.859999 0.29552 0.447042
0.869999 0.29552 0.441132
0.879999 0.29552 0.435222
0.889999 0.29552 0.429311
0.899999 0.29552 0.423401
0.909999 0.29552 0.41749
0.919999 0.29552 0.41158
0.929999 0.29552 0.40567
0.939999 0.29552 0.399759
0.949999 0.29552 0.393849
0.959999 0.29552 0.387938
0.969999 0.29552 0.382028
0.979999 0.29552 0.376118
0.989999 0.29552 0.370207

0 0.342898 0.939373
0.01 0.342898 0.932515
0.02 0.342898 0.925657
0.03 0.342898 0.918799
0.04 0.342898 0.911941
0.05 0.342898 0.905083
0.06 0.342898 0.898225
0.07 0.342898 0.891367
0.08 0.342898 0.884509
0.09 0.342898 0.877651
0.1 0.342898 0.870793
0.11 0.342898 0.863935
0.12 0.342898 0.857078
0.13 0.342898 0.85022
0.14 0.342898 0.843362
0.15 0.342898 0.836504
0.16 0.342898 0.829646
0.17 0.342898 0.822788
0.18 0.342898 0.81593
0.19 0.342898 0.809072
0.2 0.342898 0.802214
0.21 0.342898 0.795356
0.22 0.342898 0.788498
0.23 0.342898 0.78164
0.24 0.342898 0.774782
0.25 0.342898 0.767924
0.26 0.342898 0.761066
0.27 0.342898 0.754209
0.28 0.342898 0.747351
0.29 0.342898 0.740493
0.3 0.342898 0.733635
0.31 0.342898 0.726777
0.32 0.342898 0.719919
0.33 0.342898 0.713061
0.34 0.342898 0.706203
0.35 0.342898 0.699345
0.36 0.342898 0.692487
0.37 0.342898 0.685629
0.38 0.342898 0.678771
0.39 0.342898 0.671913
0.4 0.342898 0.665055
0.41 0.342898 0.658198
0.42 0.342898 0.65134
0.43 0.342898 0.644482
0.44 0.342898 0.637624
0.45 0.342898 0.630766
0.46 0.342898 0.623908
0.47 0.342898 0.61705
0.48 0.342898 0.610192
0.49 0.342898 0.603334
0.5 0.342898 0.596476
0.51 0.342898 0.589618
0.52 0.342898 0.58276
0.53 0.342898 0.575902
0.54 0.342898 0.569044
0.55 0.342898 0.562186
0.56 0.342898 0.555329
0.57 0.342898 0.548471
0.58 0.342898 0.541613
0.59 0.342898 0.534755
0.6 0.342898 0.527897
0.61 0.342898 0.521039
0.62 0.342898 0.514181
0.63 0.342898 0.507323
0.64 0.342898 0.500465
0.65 0.342898 0.493607
0.66 0.342898 0.486749
0.67 0.342898 0.479891
0.68 0.342898 0.473033
0.69 0.342898 0.466175
0.7 0.342898 0.459317
0.71 0.342898 0.452459
0.72 0.342898 0.445601
0.73 0.342898 0.438743
0.74 0.342898 0.431885
0.75 0.342898 0.425028
0.76 0.342898 0.41817
0.77 0.342898 0.411312
0.78 0.342898 0.404454
0.79 0.342898 0.397596
0.8 0.342898 0.390738
0.81 0.342898 0.38388
0.82 0.342898 0.377022
0.83 0.342898 0.370164
0.839999 0.342898 0.363306
0.849999 0.342898 0.356448
0.859999 0.342898 0.34959
0.869999 0.342898 0.342732
0.879999 0.342898 0.335874
0.889999 0.342898 0.329016
0.899999 0.342898 0.322158
0.909999 0.342898 0.3153
0.919999 0.342898 0.308442
0.929999 0.342898 0.301584
0.939999 0.342898 0.294726
0.949999 0.342898 0.287868
0.959999 0.342898 0.28101
0.969999 0.342898 0.274152
0.979999 0.342898 0.267294
0.989999 0.342898 0.260436

0 0.389418 0.921061
0.01 0.389418 0.913273
0.02 0.389418 0.905484
0.03 0.389418 0.897696
0.04 0.389418 0.889908
0.05 0.389418 0.882119
0.06 0.389418 0.874331
0.07 0.389418 0.866542
0.08 0.389418 0.858754
0.09 0.389418 0.850966
0.1 0.389418 0.843177
0.11 0.389418 0.835389
0.12 0.389418 0.827601
0.13 0.389418 0.819812
0.14 0.389418 0.812024
0.15 0.389418 0.804236
0.16 0.389418 0.796447
0.17 0.389418 0.788659
0.18 0.389418 0.78087
0.19 0.389418 0.773082
0.2 0.389418 0.765294
0.21 0.389418 0.757505
0.22 0.389418 0.749717
0.23 0.389418 0.741929
0.24 0.389418 0.73414
0.25 0.389418 0.726352
0.26 0.389418 0.718564
0.27 0.389418 0.710775
0.28 0.389418 0.702987
0.29 0.389418 0.695199
0.3 0.389418 0.68741
0.31 0.389418 0.679622
0.32 0.389418 0.671833
0.33 0.389418 0.664045
0.34 0.389418 0.656257
0.35 0.389418 0.648468
0.36 0.389418 0.64068
0.37 0.389418 0.632892
0.38 0.389418 0.625103
0.39 0.389418 0.617315
0.4 0.389418 0.609527
0.41 0.389418 0.601738
0.42 0.389418 0.59395
0.43 0.389418 0.586161
0.44 0.389418 0.578373
0.45 0.389418 0.570585
0.46 0.389418 0.562796
0.47 0.389418 0.555008
0.48 0.389418 0.54722
0.49 0.389418 0.539431
0.5 0.389418 0.531643
0.51 0.389418 0.523855
0.52 0.389418 0.516066
0.53 0.389418 0.508278
0.54 0.389418 0.50049
0.55 0.389418 0.492701
0.56 0.389418 0.484913
0.57 0.389418 0.477124
0.58 0.389418 0.469336
0.59 0.389418 0.461548
0.6 0.389418 0.453759
0.61 0.389418 0.445971
0.62 0.389418 0.438183
0.63 0.389418 0.430394
0.64 0.389418 0.422606
0.65 0.389418 0.414818
0.66 0.389418 0.407029
0.67 0.389418 0.399241
0.68 0.389418 0.391452
0.69 0.389418 0.383664
0.7 0.389418 0.375876
0.71 0.389418 0.368087
0.72 0.389418 0.360299
0.73 0.389418 0.352511
0.74 0.389418 0.344722
0.75 0.389418 0.336934
0.76 0.389418 0.329146
0.77 0.389418 0.321357
0.78 0.389418 0.313569
0.79 0.389418 0.305781
0.8 0.389418 0.297992
0.81 0.389418 0.290204
0.82 0.389418 0.282415
0.83 0.389418 0.274627
0.839999 0.389418 0.266839
0.849999 0.389418 0.25905
0.859999 0.389418 0.251262
0.869999 0.389418 0.243474
0.879999 0.389418 0.235685
0.889999 0.389418 0.227897
0.899999 0.389418 0.220109
0.909999 0.389418 0.21232
0.919999 0.389418 0.204532
0.929999 0.389418 0.196743
0.939999 0.389418 0.188955
0.949999 0.389418 0.181167
0.959999 0.389418 0.173378
0.969999 0.389418 0.16559
0.979999 0.389418 0.157802
0.989999 0.389418 0.150013

0 0.434966 0.900447
